HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, HandLeftX, HandLeftY, HandLeftZ, HandRightX, HandRightY, HandRightZ, FootLeftX, FootLeftY, FootLeftZ, FootRightX, FootRightY, FootRightZ
-0.12881,0.8931688,1.822023,-0.3314644,0.6106584,1.764124,-0.003648435,0.6196532,1.854943,-0.3679138,-0.09294,1.474608,-0.0006596742,-0.1359273,1.554859,-0.462098,0.5103992,1.721913,0.1637617,0.5048386,1.896005,-0.177175,0.6868773,1.809094,-0.5223856,0.7412828,1.546996,0.2624837,0.7864064,1.823909,-0.310238,-0.4210274,1.498028,-0.01753448,-0.5703529,1.521515
-0.1286823,0.8938256,1.82326,-0.3307535,0.6109459,1.76477,-0.002001448,0.62063,1.855963,-0.4087881,-0.1306287,1.490801,0.006034686,-0.180114,1.569006,-0.4615678,0.5098813,1.722078,0.1645709,0.5048942,1.896569,-0.1760187,0.6870368,1.809389,-0.5226309,0.7362786,1.540076,0.2680019,0.7878187,1.823922,-0.2840512,-0.3523474,1.593419,-0.02865543,-0.3993081,1.638564
-0.1256009,0.895257,1.826198,-0.3244658,0.6111962,1.765359,-0.0002197554,0.6219664,1.858533,-0.3292379,-0.2424389,1.578123,-0.01422298,-0.2373604,1.624135,-0.4614447,0.5066977,1.722192,0.1657895,0.5055216,1.897719,-0.171167,0.6852304,1.80913,-0.5247997,0.7288316,1.531769,0.2779236,0.7825217,1.822413,-0.2460608,-0.3912823,1.594225,-0.1036705,-0.395989,1.621182
-0.1175964,0.8958822,1.828314,-0.3141395,0.6105702,1.767238,0.02112158,0.6253576,1.86791,-0.3160191,-0.2434238,1.581379,-0.01112427,-0.2388142,1.627367,-0.4613715,0.4988067,1.715366,0.170944,0.5037312,1.898332,-0.160466,0.6827635,1.80931,-0.5305654,0.6951839,1.507403,0.3063272,0.763088,1.812994,-0.205563,-0.4068584,1.597623,-0.08205509,-0.39851,1.637858
-0.1058982,0.895175,1.830981,-0.3013474,0.6086758,1.769444,0.02949358,0.6236688,1.869267,-0.3076105,-0.2378941,1.582126,0.005293759,-0.2380025,1.633182,-0.4586001,0.4944182,1.716173,0.2220133,0.5077633,1.86412,-0.1489864,0.680973,1.810856,-0.5364036,0.6556304,1.484702,0.3396147,0.732987,1.800564,-0.2141331,-0.4256745,1.587552,0.03463373,-0.3929062,1.608574
-0.0982789,0.8952299,1.833861,-0.2951959,0.6082414,1.77103,0.03668433,0.6233143,1.871552,-0.3014113,-0.2331588,1.582472,0.00833746,-0.2351672,1.634669,-0.455749,0.483667,1.711739,0.2248873,0.5021386,1.863322,-0.1424223,0.6807448,1.812907,-0.538264,0.6336412,1.475661,0.3572944,0.7161633,1.795663,-0.2098073,-0.4143794,1.587583,0.03285424,-0.38137,1.606454
-0.09210329,0.8951145,1.836254,-0.2973136,0.6087734,1.7715,0.04272834,0.6208036,1.871889,-0.2960312,-0.2301722,1.582631,0.01581968,-0.2347097,1.637962,-0.4516394,0.4751025,1.709662,0.2251721,0.4889197,1.864671,-0.1365096,0.6798909,1.814835,-0.5371585,0.610337,1.46925,0.373209,0.6919356,1.78959,-0.2062512,-0.4076511,1.589839,0.02805083,-0.3146693,1.59792
-0.08740472,0.8949331,1.838896,-0.2848339,0.6081009,1.775266,0.04771608,0.6188858,1.871847,-0.2918459,-0.2308917,1.58129,0.01915016,-0.2382593,1.637463,-0.4185622,0.439752,1.764991,0.2251264,0.477049,1.866482,-0.1374892,0.6799976,1.814861,-0.5349553,0.587409,1.464188,0.3899581,0.6692556,1.783879,-0.205136,-0.4053954,1.590373,0.03281945,-0.3173282,1.600402
-0.08132651,0.8944981,1.842242,-0.2763757,0.6070374,1.7769,0.05220288,0.6173725,1.871863,-0.2857373,-0.2315613,1.580227,0.02091469,-0.2389273,1.637227,-0.4362506,0.4521941,1.717533,0.226374,0.4663232,1.865844,-0.1359376,0.6799517,1.815433,-0.5271445,0.5643457,1.462377,0.4056975,0.6436383,1.778554,-0.2013942,-0.4037914,1.589654,0.03544475,-0.3186448,1.601132
-0.07073849,0.8940552,1.847052,-0.266519,0.606792,1.779704,0.05764776,0.6141494,1.8701,-0.2790391,-0.2215002,1.58084,0.02517796,-0.2389769,1.636115,-0.3944275,0.4310778,1.771184,0.2281899,0.4443467,1.864791,-0.1161267,0.6788003,1.821493,-0.4777135,0.4996606,1.538423,0.433596,0.5895759,1.766959,-0.165158,-0.4267108,1.602858,0.03728709,-0.338737,1.55254
-0.0665366,0.8936218,1.849568,-0.2600131,0.6066947,1.781362,0.06142321,0.6123693,1.870075,-0.2755269,-0.2190193,1.581146,0.02774035,-0.2387497,1.635787,-0.3929631,0.4310007,1.77195,0.2278776,0.4371097,1.864082,-0.1117149,0.6785218,1.824015,-0.4666284,0.4212768,1.604398,0.4441837,0.5623291,1.761719,-0.1736654,-0.4050681,1.592562,0.0324331,-0.6106811,1.532231
-0.06161163,0.8929422,1.85247,-0.2567172,0.6062596,1.782689,0.06581095,0.6116362,1.870929,-0.2724386,-0.2178259,1.581232,0.03167455,-0.2396664,1.63453,-0.386127,0.4280836,1.776154,0.2252906,0.4264701,1.863258,-0.1076476,0.6779389,1.82556,-0.4949857,0.4664548,1.472194,0.4505464,0.5350269,1.757216,-0.1691302,-0.4113792,1.590261,0.03254208,-0.6160191,1.531528
-0.05515364,0.8917571,1.857133,-0.2511583,0.6049962,1.784298,0.06949709,0.6115739,1.872036,-0.2670757,-0.218689,1.58066,0.03708852,-0.2404271,1.631396,-0.3723259,0.4244911,1.782837,0.2229636,0.4173227,1.860574,-0.1029179,0.6776793,1.827876,-0.4792604,0.4341151,1.482167,0.4659311,0.4885719,1.749654,-0.1835178,-0.4001898,1.578866,0.03320111,-0.6207365,1.530494
