HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ
-0.07595579,0.8925995,1.616626,-0.2269076,0.6121346,1.567588,0.02150299,0.6413516,1.667715,-0.3673018,0.01567043,1.317795,-0.009570242,-0.04969105,1.385504,-0.4042727,0.4692852,1.595171,0.08960702,0.4393233,1.717468,-0.1210106,0.7140676,1.62442,-0.2535311,0.1908756,1.432922,0.1340381,0.562615,1.45172
-0.07645063,0.8920423,1.618305,-0.2425813,0.6987648,1.613269,0.01984704,0.6382729,1.666301,-0.3958344,-0.01284881,1.381744,-0.001991778,-0.0980485,1.367416,-0.4070396,0.4754932,1.613084,0.08829945,0.4398918,1.719735,-0.1215622,0.7137014,1.624194,-0.2515732,0.5919433,1.408609,0.1261582,0.5592445,1.462951
-0.08206465,0.891569,1.619717,-0.2195194,0.608908,1.547473,0.02075437,0.642783,1.668017,-0.3298397,-0.1074621,1.419187,-0.009764749,-0.1928341,1.412434,-0.4117672,0.4631173,1.603684,0.0807118,0.4420975,1.724012,-0.1252632,0.71075,1.622327,-0.2544808,0.5876792,1.406172,0.1206233,0.5561994,1.467388
-0.08412607,0.8913475,1.620598,-0.2199026,0.6087951,1.548192,0.02017224,0.6429566,1.668295,-0.3283469,-0.09877905,1.419292,-0.009843799,-0.1940901,1.413345,-0.4106485,0.460129,1.600858,0.07628541,0.4416855,1.72659,-0.1259453,0.7101232,1.622626,-0.2557927,0.5819225,1.405004,0.1186353,0.5490869,1.464435
-0.08657609,0.8903762,1.621475,-0.2202633,0.6088552,1.549204,0.01979491,0.643473,1.669213,-0.3203421,-0.09981139,1.423196,-0.01012277,-0.1948072,1.414089,-0.414358,0.4541357,1.603134,0.07322786,0.4406236,1.727836,-0.1270598,0.7089083,1.622794,-0.2609568,0.5651373,1.391065,0.1207232,0.5357165,1.453004
-0.08842558,0.8891383,1.622246,-0.2215337,0.6096118,1.551028,0.01957269,0.645283,1.671053,-0.3196319,-0.09804124,1.425299,-0.01532248,-0.2007384,1.422568,-0.4158448,0.4523122,1.603574,0.06856998,0.4442404,1.727291,-0.1280631,0.7084844,1.623106,-0.2682975,0.548742,1.382437,0.1215486,0.5256742,1.450575
-0.09382628,0.8811263,1.628555,-0.2241131,0.6144771,1.553393,0.01907607,0.6464784,1.671738,-0.3170684,-0.09841581,1.428589,-0.01755103,-0.2006156,1.426004,-0.4163049,0.4503734,1.606157,0.06053324,0.4377751,1.710445,-0.1348518,0.706075,1.623184,-0.2728699,0.5459639,1.385877,0.1154189,0.5317121,1.45693
-0.09669648,0.8829722,1.627631,-0.2260118,0.6158602,1.554462,0.01807268,0.6470769,1.671455,-0.327259,-0.09292267,1.435166,-0.01804282,-0.1988931,1.427131,-0.4171456,0.4506215,1.608136,0.05973734,0.4373707,1.711035,-0.1348713,0.7061667,1.623293,-0.2761278,0.5548373,1.395172,0.1042541,0.542887,1.468249
-0.09971457,0.8854114,1.626599,-0.2275701,0.6157101,1.555092,0.01662707,0.6471837,1.670523,-0.3283472,-0.09399655,1.438686,-0.01760444,-0.1994922,1.427558,-0.4236108,0.4489619,1.623004,0.05601918,0.4182919,1.761101,-0.1349245,0.7061841,1.623391,-0.2786688,0.5628245,1.407257,0.09338734,0.5531712,1.480076
-0.1015471,0.882715,1.628634,-0.237649,0.6155019,1.559381,0.006047327,0.6468876,1.664254,-0.3268719,-0.08441827,1.43891,-0.01669167,-0.2025183,1.426967,-0.4244549,0.4488739,1.622822,0.05588218,0.41919,1.759672,-0.1405949,0.7030054,1.621706,-0.2797122,0.5622121,1.412605,0.09080748,0.5535938,1.483384
-0.1033076,0.8808262,1.629701,-0.2412599,0.6155707,1.561354,0.001609097,0.6461887,1.663495,-0.3223333,-0.09081948,1.437578,-0.01572193,-0.20618,1.426097,-0.4268917,0.4480378,1.623652,0.05680556,0.4199686,1.75635,-0.14362,0.7010303,1.622329,-0.2845326,0.5551687,1.408121,0.09035584,0.5520421,1.478347
-0.1056922,0.8784958,1.632466,-0.246212,0.6171888,1.564784,0.001407802,0.6501541,1.66835,-0.3140742,-0.08519457,1.432075,-0.0159036,-0.2064268,1.426926,-0.4288631,0.4483373,1.621474,0.05832596,0.4201844,1.752671,-0.1447598,0.7004827,1.622869,-0.2881542,0.5380994,1.399607,0.09199424,0.5393561,1.463496
-0.1066967,0.8770371,1.634939,-0.2573094,0.6301638,1.574027,0.001994312,0.6565511,1.674507,-0.311256,-0.07839882,1.431924,-0.01706654,-0.206269,1.429423,-0.4290282,0.4482918,1.620514,0.06274509,0.4293967,1.741417,-0.1453176,0.7009321,1.623667,-0.2952882,0.5261377,1.395694,0.09554352,0.5266373,1.454374
-0.1070441,0.8758585,1.637048,-0.2615383,0.6339136,1.575928,0.001928566,0.6576699,1.674879,-0.3084723,-0.07680273,1.433333,-0.01758816,-0.2059473,1.430822,-0.4293835,0.4484619,1.620402,0.06052519,0.4304845,1.736484,-0.1455578,0.7013695,1.623946,-0.2994986,0.5248871,1.39708,0.09545525,0.5236439,1.457818
-0.1061419,0.876834,1.63736,-0.2617796,0.634281,1.57598,0.003776387,0.6564535,1.67442,-0.3053238,-0.07770769,1.434632,-0.01765655,-0.2062365,1.43155,-0.4293068,0.4475695,1.62215,0.05718972,0.4304445,1.744297,-0.1457115,0.7020237,1.624268,-0.2982795,0.5338192,1.402368,0.09423804,0.5275061,1.465364
-0.1064341,0.8755231,1.638381,-0.261916,0.6348071,1.576033,0.002706492,0.6566624,1.674071,-0.3054063,-0.07805619,1.440308,-0.01766957,-0.2059056,1.432344,-0.4315057,0.4485865,1.627092,0.05590627,0.430357,1.746372,-0.1457114,0.7021835,1.624285,-0.2990261,0.5379556,1.406111,0.09195167,0.5294349,1.473245
-0.1058156,0.876204,1.638651,-0.2620833,0.6351331,1.576113,0.004409335,0.6557227,1.674177,-0.3058485,-0.07757184,1.441061,-0.01786944,-0.205836,1.433246,-0.4321904,0.4491535,1.628572,0.05453897,0.4298788,1.747156,-0.1457074,0.7023229,1.624413,-0.2986417,0.5342005,1.409307,0.09274908,0.5301502,1.475321
-0.1052997,0.8767642,1.638628,-0.2644436,0.6376651,1.577272,0.003982914,0.6585352,1.676871,-0.2984652,-0.08084377,1.447249,-0.01858752,-0.2066139,1.435558,-0.4322874,0.4490049,1.629008,0.05131056,0.4284872,1.758971,-0.1456713,0.702691,1.624964,-0.2983004,0.526572,1.406365,0.09340984,0.5287997,1.47344
-0.104654,0.8776239,1.639056,-0.2654389,0.6401559,1.57837,0.005536492,0.6578527,1.677074,-0.2976367,-0.08035453,1.447726,-0.02053025,-0.2079196,1.43918,-0.4321793,0.4482671,1.630446,0.05070564,0.4289363,1.759508,-0.1456355,0.703145,1.625282,-0.2988117,0.5214633,1.405022,0.09440931,0.5282909,1.472049
-0.1039109,0.8787387,1.639436,-0.2675009,0.6431797,1.57973,0.004741202,0.6610311,1.679204,-0.2941808,-0.08034804,1.449735,-0.02190058,-0.2081217,1.441255,-0.4324591,0.4491685,1.631335,0.04921003,0.4299245,1.763145,-0.1454475,0.7039493,1.625733,-0.2969785,0.5255187,1.409376,0.09371632,0.5309142,1.475376
-0.1023671,0.8801091,1.639205,-0.2673512,0.6428525,1.579662,0.006381149,0.6588584,1.67756,-0.299588,-0.07791291,1.451426,-0.01983691,-0.2018543,1.43989,-0.4240194,0.4548705,1.627157,0.04872209,0.4299766,1.764969,-0.144635,0.7049152,1.625964,-0.2903382,0.5414133,1.416413,0.091409,0.5394545,1.482608
-0.1002994,0.8800963,1.639245,-0.2667286,0.6424459,1.579395,0.007688767,0.6567152,1.676161,-0.3022432,-0.07668018,1.451568,-0.01794746,-0.2060115,1.438727,-0.427315,0.4547452,1.634727,0.04843315,0.4300139,1.763859,-0.1442362,0.7050351,1.625854,-0.2866663,0.5428101,1.418737,0.09192032,0.5388699,1.484313
-0.09870529,0.8795581,1.639431,-0.2666224,0.6420091,1.579447,0.008664032,0.6554946,1.675798,-0.3036417,-0.07635107,1.451134,-0.01656708,-0.2058179,1.438423,-0.4279918,0.4543548,1.63549,0.04854411,0.4292716,1.762305,-0.1436969,0.704503,1.625939,-0.2836515,0.5364854,1.416549,0.09455295,0.5347121,1.481163
-0.09596237,0.8783129,1.639675,-0.2661444,0.6420611,1.579492,0.01036742,0.6543959,1.676245,-0.3024105,-0.07654835,1.450211,-0.01628633,-0.20555,1.438419,-0.4267077,0.4525492,1.634776,0.05160359,0.428338,1.772881,-0.1432468,0.7041634,1.626146,-0.2815475,0.5254475,1.410087,0.1002651,0.5257365,1.473723
-0.08721541,0.8786513,1.642557,-0.2649131,0.6430272,1.579654,0.01383718,0.6549108,1.678094,-0.2931006,-0.07867197,1.450244,-0.01747859,-0.2059283,1.441348,-0.4120995,0.4596139,1.624065,0.05458213,0.4305916,1.782921,-0.139634,0.7061358,1.627341,-0.2788247,0.5309446,1.4134,0.1116369,0.5279096,1.485923
-0.08012711,0.881514,1.644404,-0.2630754,0.6433781,1.579535,0.01557264,0.6552657,1.678637,-0.2843615,-0.08118783,1.45258,-0.0174062,-0.2063764,1.441982,-0.4097538,0.462021,1.625442,0.05252091,0.4434013,1.784326,-0.134449,0.7082691,1.627497,-0.2758349,0.541265,1.424222,0.1106649,0.5386721,1.497664
