HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.03157099,0.9537921,1.818715,-0.1381782,0.604514,1.736092,0.1461813,0.6505885,1.73859,-0.2131674,-0.1014071,1.562405,0.1780169,-0.09663776,1.557152,-0.2791284,0.4623771,1.677883,0.2555683,0.5289894,1.602135,-0.02144887,0.7151143,1.786407,-0.1310482,0.7249333,1.616614,0.01449447,0.7699777,1.595081,-0.1842443,-0.6096972,1.528899,0.1598706,-0.6066594,1.491411
-0.03076886,0.9528463,1.819211,-0.1403255,0.5890096,1.734409,0.1455872,0.6524502,1.738562,-0.2316422,-0.1404069,1.584596,0.1875727,-0.1139245,1.57221,-0.2896738,0.4565,1.668959,0.2547425,0.5286576,1.60143,-0.0214806,0.7152916,1.786878,-0.1210436,0.7281885,1.623839,0.01493099,0.7662625,1.6066,-0.1768799,-0.4633789,1.59375,0.1416318,-0.6728076,1.487299
-0.03503454,0.9431159,1.814165,-0.1430835,0.6071405,1.716894,0.1361778,0.6409402,1.72241,-0.1618163,-0.1564056,1.607593,0.1562299,-0.1708332,1.581183,-0.2609218,0.4680365,1.671274,0.2488808,0.5361046,1.607283,-0.02138161,0.7156026,1.787527,-0.1139045,0.7330652,1.633292,0.003557134,0.8054796,1.62031,-0.1804746,-0.5866745,1.500303,0.1251631,-0.6864456,1.481561
-0.03253433,0.9403836,1.817688,-0.1424424,0.6078433,1.71881,0.136656,0.6411608,1.723073,-0.1617981,-0.1554912,1.607517,0.1557847,-0.1709755,1.580721,-0.2780525,0.487867,1.659577,0.2465173,0.5383122,1.599276,-0.02122506,0.7162272,1.787836,-0.1095989,0.7309376,1.645016,0.04313188,0.7413334,1.619212,-0.1220703,-0.7109375,1.506836,0.1226059,-0.6860816,1.483837
-0.02334314,0.9402409,1.83111,-0.1417052,0.6102572,1.72166,0.1371329,0.6409087,1.723314,-0.1617416,-0.1550773,1.606654,0.155434,-0.1709181,1.579013,-0.2767731,0.490659,1.65932,0.2432338,0.5418786,1.592518,-0.02056841,0.7174718,1.788632,-0.108187,0.7265841,1.653956,0.03070815,0.7872223,1.634318,-0.1248339,-0.7078747,1.509844,0.1220642,-0.6860754,1.484568
-0.01357854,0.9400061,1.841037,-0.1410873,0.6121088,1.728248,0.1377152,0.6405203,1.723781,-0.161218,-0.1523415,1.603299,0.154146,-0.1691225,1.573952,-0.2786878,0.4994241,1.658773,0.2383334,0.5469411,1.584667,-0.01937051,0.7182339,1.78918,-0.1049832,0.7339696,1.668149,0.03847517,0.7903785,1.64536,-0.1286383,-0.7018952,1.513924,0.1208483,-0.685586,1.484214
-0.009463803,0.9386277,1.846806,-0.1405476,0.6134684,1.732637,0.1386384,0.6392471,1.723802,-0.1608954,-0.149902,1.600709,0.152707,-0.1657384,1.570134,-0.2800491,0.5052335,1.657095,0.2360686,0.5484036,1.579229,-0.01840654,0.7187212,1.789539,-0.1022431,0.7394628,1.674376,0.03890769,0.7806695,1.649742,-0.1307279,-0.6977089,1.515891,0.1200619,-0.6853167,1.482845
-0.005392221,0.9392055,1.851658,-0.1401315,0.6140913,1.734701,0.1397648,0.6342151,1.720438,-0.1606425,-0.1470364,1.597484,0.1525001,-0.1614342,1.567356,-0.2824629,0.50827,1.655647,0.2372375,0.5473616,1.570614,-0.0178671,0.7189685,1.789863,-0.09946477,0.7401499,1.676012,0.03389599,0.7883462,1.654523,-0.1266452,-0.70376,1.512474,0.1192739,-0.6852109,1.482231
-0.001659737,0.9388024,1.854462,-0.1394217,0.6157379,1.735829,0.1401439,0.6320467,1.719067,-0.160771,-0.1446091,1.593696,0.15283,-0.1583076,1.564116,-0.2832426,0.5092981,1.655457,0.2362258,0.5468284,1.564737,-0.01748592,0.7190564,1.790121,-0.09587383,0.7447406,1.676791,0.03085903,0.7900289,1.656786,-0.1237022,-0.7078374,1.509593,0.1189777,-0.6850292,1.481704
0.002221276,0.9334248,1.851667,-0.1392956,0.6151903,1.736365,0.1399811,0.6307008,1.717663,-0.1666695,-0.1466404,1.580442,0.1572163,-0.1519058,1.550606,-0.2841358,0.5087044,1.653429,0.2282742,0.5453445,1.556242,-0.01694745,0.7183729,1.789803,-0.09149083,0.7448807,1.673273,0.02695905,0.7933311,1.65573,-0.1202214,-0.7107849,1.508053,0.1187967,-0.6847099,1.479257
