HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.1063263,0.7911037,1.939247,-0.2152185,0.4971208,1.919292,0.08085873,0.5531714,1.965161,-0.08194085,0.578042,1.953808,-0.2687585,-0.173103,1.672413,0.0913369,-0.1373916,1.66193,-0.3273725,0.3398679,1.926602,0.1549232,0.3722439,2.122458,-0.08579282,0.3626226,1.953333,-0.2269711,0.5263997,1.744821,0.1557288,0.2066009,1.865244,-0.2525684,-0.6017638,1.499404,0.0645944,-0.4524372,1.594772
-0.1069488,0.7912956,1.939356,-0.2152981,0.4970371,1.919298,0.08076914,0.5531797,1.96517,-0.08264349,0.5780892,1.953576,-0.2709833,-0.1769493,1.669741,0.09310157,-0.1405797,1.659919,-0.3319901,0.334957,1.933876,0.155552,0.3706702,2.123998,-0.08646145,0.3625796,1.952507,-0.2322996,0.5177252,1.750947,0.1526961,0.2017228,1.860981,-0.2535691,-0.6083239,1.492171,0.06452628,-0.4527691,1.593738
-0.1089666,0.7916756,1.93949,-0.2156482,0.4972173,1.91929,0.08047242,0.5532995,1.965248,-0.08429521,0.5780611,1.95338,-0.2731,-0.1796367,1.665396,0.09641103,-0.1440769,1.658008,-0.3435313,0.3232596,1.93114,0.1553371,0.3708005,2.123683,-0.08827087,0.3620359,1.951189,-0.2369805,0.5159474,1.753141,0.148911,0.197996,1.854798,-0.255146,-0.6123959,1.486539,0.06450644,-0.4529105,1.593206
-0.11188,0.7925909,1.940467,-0.2161421,0.4971609,1.919542,0.07987909,0.5534403,1.965288,-0.08646804,0.5784368,1.953567,-0.2777867,-0.1823124,1.658937,0.1008298,-0.1472614,1.655726,-0.3502488,0.3177462,1.933522,0.154535,0.3712809,2.122907,-0.09062696,0.3611809,1.950106,-0.2415937,0.5177491,1.756619,0.1439948,0.1946974,1.853196,-0.2579388,-0.6162958,1.47817,0.06465171,-0.4522834,1.592284
-0.1153886,0.7928322,1.941343,-0.2176,0.4978328,1.920219,0.07893815,0.5535609,1.965328,-0.08916642,0.5781491,1.953707,-0.2812034,-0.1834773,1.652753,0.1051886,-0.149863,1.653041,-0.3545233,0.3139479,1.936639,0.1531331,0.3711765,2.120502,-0.09310894,0.359613,1.949003,-0.2462093,0.5187507,1.759901,0.1387658,0.1927131,1.849257,-0.2602793,-0.6187794,1.470712,0.06480213,-0.4522827,1.59176
-0.1187169,0.7935361,1.942247,-0.2195254,0.4978418,1.920523,0.07791278,0.5538084,1.965559,-0.09141229,0.5785192,1.953954,-0.2824338,-0.1834903,1.649661,0.1077607,-0.1515056,1.652417,-0.3581624,0.311513,1.936879,0.1514392,0.371415,2.119361,-0.09459168,0.3593849,1.9484,-0.2485358,0.5214378,1.76401,0.1325931,0.1923389,1.848678,-0.2609028,-0.6201845,1.467921,0.06494695,-0.4522507,1.591495
-0.1214078,0.7944422,1.943112,-0.2287351,0.4994259,1.920282,0.07122584,0.554749,1.966063,-0.09555452,0.5785952,1.954345,-0.2825358,-0.1834014,1.646206,0.1096993,-0.1523007,1.651989,-0.3600728,0.3100378,1.936255,0.1495489,0.3715037,2.118447,-0.09700969,0.3592041,1.947641,-0.2488222,0.5232179,1.765547,0.1162303,0.1918876,1.855429,-0.260411,-0.6212895,1.465463,0.06511524,-0.4522277,1.591235
-0.1230321,0.7951408,1.943571,-0.2311992,0.4999233,1.919594,0.06713878,0.5566118,1.967531,-0.09951653,0.5787502,1.954205,-0.2832653,-0.1836919,1.642679,0.1112137,-0.153689,1.651852,-0.3641229,0.3071933,1.932942,0.146893,0.3716414,2.117606,-0.09917865,0.3593831,1.946339,-0.2487505,0.526191,1.763405,0.09944946,0.1892926,1.851069,-0.2602004,-0.6224183,1.462808,0.06551185,-0.4518711,1.59056
-0.1239542,0.7955494,1.944019,-0.2327744,0.5001721,1.918339,0.06424956,0.5574328,1.968633,-0.102828,0.5790442,1.954524,-0.2836317,-0.1838844,1.639834,0.1121198,-0.1541597,1.652168,-0.3669266,0.3051897,1.929659,0.1435836,0.3721442,2.116892,-0.1013195,0.3598463,1.945485,-0.2457229,0.5254635,1.766921,0.1047811,0.1957675,1.853184,-0.2597177,-0.6233017,1.460931,0.06653718,-0.4498435,1.589498
-0.1247622,0.7970389,1.944801,-0.2676935,0.5232555,1.937359,0.05761951,0.5609135,1.973194,-0.108495,0.5811096,1.95548,-0.282346,-0.1838379,1.641296,0.1131897,-0.155857,1.652102,-0.3724966,0.3046803,1.923951,0.1245824,0.3828467,2.119335,-0.1042792,0.3623432,1.944341,-0.235307,0.5232233,1.770465,0.08405975,0.230128,1.857278,-0.2631314,-0.6247133,1.463487,0.06721877,-0.4478109,1.590895
