TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
1,1,0.04974455,0.849339,1.631357,-0.1047214,0.5976877,1.656377,0.2598347,0.6322898,1.554463,0.07478628,0.6606925,1.609118,-0.123399,-0.08951101,1.265438,0.3122269,-0.01590444,1.207407,-0.252861,0.4463427,1.6726,0.4407041,0.5334444,1.451849,0.07860884,0.4351172,1.579663,-0.07867739,0.3747242,1.488806,0.2558192,0.4255507,1.360279,-0.06726074,-0.4685059,1.136719,0.1834897,-0.3235124,1.093477
1,2,0.04747335,0.8439115,1.620663,-0.1065603,0.5957195,1.651265,0.2578309,0.6304023,1.549334,0.07337832,0.6580091,1.601435,-0.1155728,-0.08122147,1.270594,0.3044359,-0.009439625,1.215184,-0.2665196,0.4606061,1.677797,0.4372761,0.5370048,1.450499,0.07671049,0.432706,1.568649,-0.1386314,0.4054745,1.476311,0.2251211,0.429556,1.362407,-0.1462684,-0.4390422,1.104798,0.3110352,-0.2553711,1.25293
1,3,0.03724209,0.8482225,1.628081,-0.1138966,0.5988937,1.654095,0.2506046,0.6345326,1.554313,0.06340671,0.6628475,1.605421,-0.1158995,-0.09132466,1.277003,0.3135448,-0.002222416,1.234214,-0.2820935,0.4824847,1.68367,0.4368609,0.5595693,1.46542,0.0661045,0.4369903,1.572514,-0.1735106,0.4072719,1.478043,0.2286175,0.4436871,1.369074,-0.1425436,-0.4649286,1.112811,0.2376356,-0.2624505,1.269587
1,4,0.03018468,0.8500764,1.63222,-0.1195974,0.6000704,1.65492,0.2450857,0.6339982,1.556817,0.05792138,0.6657671,1.60792,-0.1138749,-0.0994711,1.279441,0.3119669,-0.003970441,1.232225,-0.2830222,0.4832521,1.683895,0.4346893,0.5614398,1.469019,0.06124293,0.4394055,1.574819,-0.1803766,0.4005966,1.473296,0.2115944,0.4381326,1.367409,-0.1387715,-0.4811458,1.116015,0.2257452,-0.2816225,1.276567
1,5,0.02239926,0.8514622,1.635079,-0.1255051,0.5987594,1.655696,0.2383855,0.633733,1.558809,0.05307159,0.6673883,1.609578,-0.1118583,-0.1072456,1.285546,0.306324,-0.004639567,1.233013,-0.283695,0.4804939,1.680849,0.4141957,0.547813,1.469262,0.05592861,0.4421908,1.577104,-0.1804438,0.3890812,1.466498,0.2036652,0.4284737,1.360797,-0.1325829,-0.4935929,1.122191,0.2227161,-0.2891903,1.273999
1,6,0.01359363,0.8513035,1.63714,-0.1318861,0.5940227,1.654892,0.2276089,0.6258052,1.558722,0.04666582,0.6648245,1.60976,-0.1220848,-0.1568059,1.30637,0.3039709,-0.04177871,1.230121,-0.2742462,0.4648375,1.672508,0.3897304,0.5011533,1.466985,0.04901981,0.4388998,1.569611,-0.1545336,0.3526519,1.434457,0.1759046,0.3913634,1.343387,-0.1394746,-0.5416321,1.146224,0.1548526,-0.2804669,1.196198
1,7,0.005962892,0.850616,1.63745,-0.1425508,0.5871032,1.654816,0.2131634,0.6107827,1.555572,0.04236311,0.6591561,1.609645,-0.08231579,-0.2279615,1.339724,0.2700581,-0.171751,1.257348,-0.2522652,0.3827786,1.547802,0.3832437,0.4938317,1.475525,0.04292977,0.4187652,1.557395,-0.09084959,0.3091331,1.41986,0.171002,0.359618,1.32671,-0.002962045,-0.489961,1.280962,0.2518452,-0.3502775,1.205305
1,8,0.003530297,0.8500171,1.6375,-0.1383492,0.5870667,1.655057,0.2124127,0.6098471,1.556191,0.0412224,0.6553233,1.609063,-0.0836882,-0.2354497,1.338374,0.2741923,-0.1766884,1.253599,-0.2567231,0.3749248,1.566606,0.3828518,0.4932665,1.476706,0.04296341,0.4158486,1.556379,-0.07842109,0.3245383,1.419778,0.171359,0.3686087,1.340653,-0.008557059,-0.4824211,1.287685,0.252666,-0.3599973,1.207761
1,9,0.002738399,0.8498557,1.637477,-0.1382617,0.5867905,1.655138,0.2124065,0.609935,1.556779,0.04628402,0.6548592,1.607597,-0.08436132,-0.2370786,1.338284,0.2759475,-0.1767755,1.252743,-0.2716268,0.3697412,1.601249,0.3829276,0.4934068,1.47704,0.04653115,0.4162773,1.555207,-0.07246207,0.3458387,1.424606,0.1753138,0.3810413,1.350609,-0.01229606,-0.4853452,1.289576,0.2559264,-0.364908,1.204321
1,10,0.002894215,0.8485582,1.634574,-0.13745,0.5852782,1.65232,0.2124076,0.6094897,1.555658,0.04950667,0.6550919,1.604891,-0.08280319,-0.223757,1.339802,0.2671328,-0.157155,1.259131,-0.2170803,0.3677126,1.57377,0.386685,0.4997717,1.477779,0.05035489,0.4200477,1.552116,-0.06228843,0.370657,1.422336,0.1834697,0.3945464,1.358916,-0.007316239,-0.5006543,1.292811,0.2422087,-0.3351901,1.216027
